species,start_x,end_x
Leptocyon_douglassi,75.656,110.376
Leptocyon_mollis,77.39,92.786
Leptocyon_gregorii,177.551,198.344
Leptocyon_vulpinus,145.554,285.738
Leptocyon_leidyi,269.865,374.274
Leptocyon_vafer,356.615,444.647
Leptocyon_matthewi,388.389,444.647
Metalopex_macconnelli,429.357,462.293
Metalopex_merriami,444.634,479.837
Urocyon_webbi,471.027,488.283
Urocyon_galushai,515.169,576.687
Urocyon_minicephalus,585.469,594.269
Urocyon_citrinus,576.583,585.641
Urocyon_cinereoargenteus,515.169,602.977
Urocyon_littoralis,601.498,602.841
Vulpes_stenognathus,443.745,515.187
Otocyon_megalotis,567.561,602.738
Nyctereutes_procyonoides,593.95,602.789
Nyctereutes_lockwoodi,546.541,547.883
Nurocyon_chonokhariensis,531.229,532.571
Vulpes_hassani,541.159,567.998
Vulpes_chama,567.561,602.738
Vulpes_pallida,,
Vulpes_bengalensis,,
Vulpes_cana,,
Vulpes_zerda,601.395,602.738
Vulpes_lagopus,594.189,602.977
Vulpes_macrotis,599.458,602.977
Vulpes_velox,594.181,602.977
Vulpes_corsac,582.698,602.977
Vulpes_ferrilata,,
Vulpes_rueppellii,588.903,602.977
Vulpes_vulpes,588.903,602.977
Eucyon_davisi,444.647,515.009
Atelocynus_microtis,,
Cerdocyon_thous,585.146,602.738
Lycalopex_fulvipes,,
Lycalopex_sechurae,,
Lycalopex_gymnocercus,571.43,602.738
Lycalopex_griseus,,
Lycalopex_culpaeus,593.95,602.783
Lycalopex_vetulus,,
Chrysocyon_brachyurus,550.207,602.977
Dusicyon_australis,585.385,602.977
Speothos_pacivorus,585.395,601.834
Speothos_venaticus,585.385,602.977
Protocyon_scagliarum,570.075,589.545
Protocyon_troglodytes,589.77,601.867
Canis_gezi,580.915,589.554
Theriodictis_platensis,576.583,601.867
Canis_ferox,461.606,540.083
Canis_lepophagus,518.275,573.691
Canis_thooides,559.003,573.691
Canis_arnensis,576.594,583.261
Eucyon_zhoui,497.894,550.207
Eucyon_marinae,554.161,555.503
Lycaon_pictus,599.458,602.977
Lupulella_adusta,594.181,602.977
Lupulella_mesomelas,567.935,602.977
Canis_chihliensis,565.003,576.615
Cynotherium_sardous,594.21,602.021
Canis_antonii,567.713,572.149
Canis_falconeri,576.586,583.253
Xenocyon_lycaonoides,575.231,599.914
Cuon_alpinus,585.487,603.079
Cuon_javanicus,585.487,601.953
Canis_simensis,,
Canis_aureus,599.458,602.977
Canis_latrans,573.889,602.977
Canis_lupus,600.026,602.977
Canis_rufus,601.498,602.841
Canis_armbrusteri,570.743,599.914
Canis_dirus,595.545,601.754
Canis_etruscus,588.141,592.539
Canis_mosbachensis,563.423,596.875
Canis_edwardii,585.395,594.435
Canis_palmidens,562.081,576.594
Canis_variabilis,588.926,594.435
